title,author,year,cover_id,work_key,description,subjects
Psychological testing,Anne Anastasi,1954.0,14462.0,/works/OL3339495W,,"Mental tests, Personality tests, Testes Psicologicos, Psychologische Diagnostik, Psychological tests, Test, Psychometrie, Testen, Tests psychologiques, 77.08 psychodiagnostics, Psychodiagnostiek, Psychologische tests, Psychologie, Personnalité, Tests, Psychometrics"
The psychology of self-esteem,Nathaniel Branden,1969.0,548526.0,/works/OL1835078W,,"Psychological aspects of Self-esteem, Psychology, Estime de soi, Psychologie, Autoestima, Psychological aspects, Self-esteem, Personality, Self Concept"
Psychology,John W. Santrock,1991.0,1084048.0,/works/OL79239W,,"Psychology, Textbooks"
Psychology,"Gray, Peter",1991.0,455934.0,/works/OL2034228W,"Peter Gray's Psychology has become a favorite of instructors with its exploration of psychology's major theories, and the evidence that supports and refutes these theories.  Each edition incorporates an exceptional amount of contemporary research, encouraging students to probe for the purposes and biological origins of behavior--the ""whys"" and ""hows"" of human psychology.  Peter Gray's engaging, readable writing style makes the science of psychology, and its interactions with biology, accessible and meaningful.  With the new edition, Gray has taken care to ensure that his comprehensive, thought-provoking, and contemporary coverage is well-attuned to the needs and interests of today's students.","Textbooks, Psychology"
Psychology,"Dennis Coon, John O. Mitterer",2001.0,12676148.0,/works/OL90590W,,"Textbooks, Psychology, General, Psychology & Psychiatry / General, Psychology (General), Reference - psychology"
Introduction to psychology,Dennis Coon,1977.0,364838.0,/works/OL90589W,,"Psychology, Textbooks, Psychology textbooks, Psychologie, Humanities textbooks, Behavior, Mental Processes, Einführung, Psychology &amp; psychiatry, General, Social reformers, Biography"
Health psychology,Shelley E. Taylor,1986.0,5451354.0,/works/OL15694W,,"Attitude to Health, Behavioral Medicine, Clinical health psychology, Health attitudes, Medicine, Psychosomatic, Psychosomatic Medicine, open_syllabus_project, Medische psychologie, Psychologie de la santé, Médecine psychosomatique, Psychologie clinique, Gesundheitspsychologie, Chronic Disease, Psychology, Disease, Health Behavior, Health Promotion, Life Style, Physician-Patient Relations, Medical Psychology, Psychological Stress, Terminal Care, Santé"
A Primer of Jungian Psychology,"Calvin S. Hall, Vernon J. Nordby",1973.0,296147.0,/works/OL1941876W,"""Carl Jung's contributions to our understanding of the human psyche have made him one of the most significant figures in the field of analytical psychology. His concepts of the collective unconscious, archetypal personality patterns, extroversion and introversion; his inquiry into the functions of thought, instinct, and feeling; his masterful investigations of the roots and meaning of dreams--all have had profound and far-reaching influence."" ""A Primer of Jungian Psychology offers a clear and concise presentation of Jung's life and work, and of the theories that have become fundamental to our basic understanding of behavior. Including everything from Jung's beliefs on the basic structure of the personality to his controversial ideas on the psychological relevance of occultism, astrology, alchemy, and extrasensory perception, this comprehensive volume is essential reading for anyone interested in the hidden depths of the mind. Book jacket.""--Jacket.","Textbooks, Jungian psychology, Psychology textbooks, Humanities textbooks, Psychoanalysis, Psychanalyse, Psychology, Personality, Jungian Theory"
Clinical psychology,Graham Davey,2008.0,9350107.0,/works/OL18794604W,,"Clinical psychology, Methods, Clinical Psychology, Psychology, pathological, Psychologie clinique, HEALTH & FITNESS, Diseases, General, MEDICAL, Clinical Medicine, Evidence-Based Medicine, Internal Medicine, PSYCHOLOGY / General, PSYCHOLOGY / Applied Psychology, PSYCHOLOGY / Clinical Psychology, Applied psychology, Social sciences -> psychology -> clinical psychology, Social sciences -> psychology -> applied psychology, Social sciences -> psychology -> abnormal psychology, Scbe0545, Scbe010610, Scbe0535, Scbe0550, Scbe0540, Psy007000, Cs.psych.clinc_psych"
Cognitive psychology and its implications,John Robert Anderson,1980.0,455605.0,/works/OL519624W,,"Kognitive Psychologie, Cognitive psychology, Textbooks, Cognition, Einführung, Psychologie cognitive, Psychology textbooks, Humanities textbooks, Cognitieve psychologie, Einfuhrung, Geheugen, Kennisrepresentatie, Waarneming, Aandacht"
