title,author,year,cover_id,work_key,description,subjects
Dark Psychology,Modern Psychology Publishing,2017.0,13262384.0,/works/OL30150379W,"Have you ever felt manipulated or taken advantage of? Have you ever fallen victim to someone’s chairisma only to realize later that you had been scammed or ripped off?
People are manipulated every single day, and the crazy thing is that most of the time they aren’t even aware of it. Subliminal messages, hypnotic trance inductions, and mass psychological brainwashing are just some of the techniques that are ceaselessly employed to the advantage of these manipulators.


….And with the news, social media, and advanced advertising techniques, you can be sure that someone is almost always trying to manipulate you for their benefit.


But not only can you learn EXACTLY what these techniques are and how they work on your psychology...


...But by learning about these tactics you can actually use them to your advantage for greater persuasive power and social influence.","Psychology, Human behavior, Manipulation, Persuasion, Mind control, NLP, Deception, Gaslighting, Narcissism, Psychopathy, Sociopathy"
Dream Psychology,Sigmund Freud,2017.0,13180633.0,/works/OL29743214W,"The Interpretation of Dreams is a book by Sigmund Freud. The first edition was first published in German in November 1899 as Die Traumdeutung (though post-dated as 1900 by the publisher). The publication inaugurated the theory of Freudian dream analysis, which activity Freud famously described as ""the royal road to the understanding of unconscious mental processes"".","Psychology, psychoanalysis, dreams, dream interpretation, unconscious mind, repressed desires, sexuality, symbolism, interpretation, meaning"
Educational psychology,"Anita Woolfolk Hoy, Philip H. Winne, Nancy E. Perry, Beth Popiel",1987.0,137962.0,/works/OL2651233W,"A text to provide beginning teachers with the tools and inspiration to become masters of their profession. Includes examples, lesson segments, case studies, and practical ideas from experienced teachers.","Educational psychology, Textbooks, Manuels, Psychology textbooks, Humanities textbooks, open_syllabus_project, Teaching, Psychopédagogie, 81.50 educational psychology: general, Onderwijspsychologie, Pädagogische Psychologie, Learning, psychology of"
Flow,Mihaly Csikszentmihalyi,1990.0,11041932.0,/works/OL278571W,"Psychologist Mihaly Csikszentmihalyi's famous investigations of ""optimal experience"" have revealed that what makes an experience genuinely satisfying is a state called *flow*. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. In this new edition of his groundbreaking classic work, Csikszentmihalyi demonstrates the ways this positive state can be controlled, not just left to chance. *Flow: The Psychology of Optimal Experience* teaches how, by ordering the information that enters our consciousness, we can discover true happiness and greatly improve the quality of our lives.","Nonfiction, Psychology, Lebensfreude, Flow-Erlebnis, Attention, Happiness, Flow, General, Développement personnel, Psychologie, Personnalité, Atención, Felicidad, Self-actualization (Psychology), Bonheur, Conduct of life, Bf575.h27 c85 1990, Bf 575.h27 c958 1990, 155.2"
Psychology,Wayne Weiten,1989.0,363719.0,/works/OL90044W,"Weiten's PSYCHOLOGY: THEMES AND VARIATIONS, 11th Edition immerse you in the excitement of this fascinating field while helping you study and retain what you learn. Filled with practical ways that you can apply psychology to your everyday life, this bestselling textbook is an experience in learning that you'll remember long after you complete your Introductory Psychology course. Critical Thinking Applications in every chapter give you specific strategies you can apply in all of your courses and in your personal life. Reality Checks, many of which may surprise you, address common misconceptions about psychology. Every chapter of this book offers tools -- such as Concept Charts that provide colorful visual snapshots of key points -- to help you focus on what's important, showing you how to maximize your study time and course success.","Psychology, Textbooks, Psychology textbooks, Psychologie, Humanities textbooks, Charts, diagrams, Problems, exercises, Study and teaching, Psykologi"
Abnormal Psychology,"Gerald C. Davison, John M. Neale, Ann M. Kring",1974.0,301725.0,/works/OL2680118W,"ABNORMAL PSYCHOLOGY: AN INTEGRATIVE APPROACH, Eighth Edition, is the perfect text to help you succeed in your abnormal psychology course! The authors -- all internationally recognized experts in the field -- show you how psychological disorders are rooted in multiple factors: biological, psychological, cultural, social, familial, and even political. You can test your understanding of topics with the text's built-in concept checks and chapter quizzes.","Psychopathology, Psychopathologie, Psychology textbooks, Psicopatología, Textbooks, Psychologie pathologique, Humanities textbooks, Psychology, Pathological, Mental Disorders, Pathological Psychology, Abnormal psychology, Psychiatry, Psychotherapy, Einfuhrung, Abweichendes Verhalten, Psychologie, Psychologie clinique, 44.91 psychiatry, psychopathology, Einführung, Psychology, pathological, case studies, Psychiatry, case studies"
The Psychology of Money,Morgan Housel,2020.0,10389354.0,/works/OL21640039W,"Timeless lessons on wealth, greed, and happiness doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people. How to manage money, invest it, and make business decisions are typically considered to involve a lot of mathematical calculations, where data and formulae tell us exactly what to do. But in the real world, people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In the psychology of money, the author shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important matters.","Money, Consumption (Economics), Quality of life, Attitude change, Accounting, Ethics, Self-help techniques, Psychology, Finance, Personal, Satisfaction, Wealth, management, Psychological aspects, Wealth, Personal Finance, Financial literacy, Management, Richesse, BUSINESS & ECONOMICS, Investing, Money Management, Investments & Securities, General"
Influence,Robert B. Cialdini,1983.0,431011.0,/works/OL3902892W,"Influence, the classic book on persuasion, explains the psychology of why people say ""yes""—and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.

You'll learn the six universal principles, how to use them to become a skilled persuader—and how to defend yourself against them. Perfect for people in all walks of life, the principles of Influence will move you toward profound personal change and act as a driving force for your success.

Some images that appeared in the print edition of this book are unavailable in the electronic edition due to rights reasons.","Compliance, Influence (Psychology), Nonfiction, Persuasion (Psychology), Self-Improvement, Persuasion (Psychologie), Influence (Psychologie), Sociale beïnvloeding, Overreding, Complaisance, Communication, Psychological aspects, Beeinflussung, Psychologie, Psychology, Beïnvloeding, Psychologische aspecten, Persuasão, Influências inter-pessoais, Personal growth, Psychology - theory, History & research, Marketing & sales, Bf774 .c53 2009, 153.8/52, Persuasive communication, Bf774 .c53 2001, Bf 774 c565 2001"
Psychology,Robert A. Baron,1977.0,1146622.0,/works/OL2661659W,,"Psychology, Textbooks, Psychology textbooks, Psychologie, Humanities textbooks, Behavior, Einfuhrung"
The world of psychology,"Samuel E. Wood, Ellen Green Wood, Denise Boyd, Wood, Ellen R. Green Wood, WOOD WOOD, Ellen Wood",1992.0,15170540.0,/works/OL103858W,,"Psychology, Textbooks, Psychology textbooks, Psychologie, Humanities textbooks, Biology and behavior, Psychological research, Child development, Health and stress, Sexuality, Memory, Therapies, Personality, Racism"
